iterations=300 child=./trivial
mean_ms=0.6202 median_ms=0.6061 stddev_ms=0.0451 min_ms=0.5481 max_ms=0.9617
RAW 0.548125
RAW 0.548250
RAW 0.550875
RAW 0.565959
RAW 0.570500
RAW 0.574208
RAW 0.578833
RAW 0.579291
RAW 0.579542
RAW 0.579625
RAW 0.579666
RAW 0.580209
RAW 0.580916
RAW 0.582250
RAW 0.582458
RAW 0.583000
RAW 0.583458
RAW 0.583834
RAW 0.584000
RAW 0.585041
RAW 0.585084
RAW 0.585125
RAW 0.585458
RAW 0.585625
RAW 0.585667
RAW 0.585875
RAW 0.586208
RAW 0.586458
RAW 0.587458
RAW 0.587750
RAW 0.587875
RAW 0.588125
RAW 0.588208
RAW 0.588292
RAW 0.588375
RAW 0.588708
RAW 0.588750
RAW 0.588834
RAW 0.589125
RAW 0.589167
RAW 0.589209
RAW 0.589333
RAW 0.589334
RAW 0.590042
RAW 0.590416
RAW 0.590458
RAW 0.590459
RAW 0.590667
RAW 0.590959
RAW 0.591250
RAW 0.591375
RAW 0.591375
RAW 0.591542
RAW 0.591583
RAW 0.591875
RAW 0.591917
RAW 0.592041
RAW 0.592166
RAW 0.592333
RAW 0.592500
RAW 0.592667
RAW 0.592833
RAW 0.592917
RAW 0.592958
RAW 0.593041
RAW 0.593167
RAW 0.593167
RAW 0.593542
RAW 0.593917
RAW 0.594000
RAW 0.594083
RAW 0.594208
RAW 0.594291
RAW 0.594625
RAW 0.594666
RAW 0.595083
RAW 0.595083
RAW 0.595708
RAW 0.596334
RAW 0.596375
RAW 0.596458
RAW 0.596583
RAW 0.596708
RAW 0.596791
RAW 0.596875
RAW 0.596875
RAW 0.597083
RAW 0.597250
RAW 0.597458
RAW 0.597750
RAW 0.597791
RAW 0.597875
RAW 0.598167
RAW 0.598250
RAW 0.598417
RAW 0.598833
RAW 0.598875
RAW 0.598958
RAW 0.599291
RAW 0.599292
RAW 0.599542
RAW 0.600000
RAW 0.600000
RAW 0.600083
RAW 0.600167
RAW 0.600416
RAW 0.600458
RAW 0.600500
RAW 0.600584
RAW 0.600667
RAW 0.600750
RAW 0.601125
RAW 0.601708
RAW 0.601750
RAW 0.601750
RAW 0.601916
RAW 0.602500
RAW 0.602667
RAW 0.602750
RAW 0.602792
RAW 0.602834
RAW 0.602834
RAW 0.602875
RAW 0.602875
RAW 0.603250
RAW 0.603458
RAW 0.603916
RAW 0.604000
RAW 0.604042
RAW 0.604166
RAW 0.604250
RAW 0.604333
RAW 0.604375
RAW 0.604416
RAW 0.604417
RAW 0.604584
RAW 0.604667
RAW 0.604708
RAW 0.604834
RAW 0.604916
RAW 0.604958
RAW 0.605250
RAW 0.605333
RAW 0.605333
RAW 0.605375
RAW 0.605417
RAW 0.605666
RAW 0.605875
RAW 0.605958
RAW 0.606041
RAW 0.606250
RAW 0.606375
RAW 0.606542
RAW 0.606584
RAW 0.607250
RAW 0.607292
RAW 0.607375
RAW 0.607417
RAW 0.607625
RAW 0.607667
RAW 0.607708
RAW 0.608000
RAW 0.608416
RAW 0.608458
RAW 0.608459
RAW 0.608500
RAW 0.608583
RAW 0.609000
RAW 0.609333
RAW 0.609959
RAW 0.610500
RAW 0.610583
RAW 0.610583
RAW 0.610625
RAW 0.610750
RAW 0.610833
RAW 0.610916
RAW 0.611000
RAW 0.611250
RAW 0.611333
RAW 0.611667
RAW 0.611875
RAW 0.612042
RAW 0.612084
RAW 0.612333
RAW 0.613125
RAW 0.613541
RAW 0.613667
RAW 0.613708
RAW 0.614083
RAW 0.614167
RAW 0.614708
RAW 0.614958
RAW 0.615084
RAW 0.615333
RAW 0.615541
RAW 0.616042
RAW 0.616709
RAW 0.616875
RAW 0.616917
RAW 0.617167
RAW 0.617417
RAW 0.617667
RAW 0.617875
RAW 0.618459
RAW 0.618708
RAW 0.618750
RAW 0.619083
RAW 0.619166
RAW 0.620167
RAW 0.620500
RAW 0.622125
RAW 0.622875
RAW 0.622917
RAW 0.622959
RAW 0.623459
RAW 0.623916
RAW 0.624084
RAW 0.624167
RAW 0.624208
RAW 0.624375
RAW 0.626750
RAW 0.627250
RAW 0.627584
RAW 0.630709
RAW 0.631333
RAW 0.631416
RAW 0.631500
RAW 0.631917
RAW 0.633875
RAW 0.635208
RAW 0.636083
RAW 0.636708
RAW 0.637333
RAW 0.637584
RAW 0.637792
RAW 0.638250
RAW 0.639542
RAW 0.640542
RAW 0.640625
RAW 0.640666
RAW 0.641875
RAW 0.643375
RAW 0.643584
RAW 0.645542
RAW 0.646708
RAW 0.647042
RAW 0.647125
RAW 0.648541
RAW 0.648542
RAW 0.649042
RAW 0.650334
RAW 0.650750
RAW 0.651167
RAW 0.651375
RAW 0.654458
RAW 0.654500
RAW 0.654583
RAW 0.655791
RAW 0.656708
RAW 0.656833
RAW 0.657875
RAW 0.659208
RAW 0.659625
RAW 0.660583
RAW 0.661916
RAW 0.664500
RAW 0.666375
RAW 0.666666
RAW 0.668625
RAW 0.676542
RAW 0.679000
RAW 0.682791
RAW 0.686208
RAW 0.689708
RAW 0.689958
RAW 0.690166
RAW 0.691666
RAW 0.699541
RAW 0.700333
RAW 0.700333
RAW 0.700750
RAW 0.702167
RAW 0.703250
RAW 0.703334
RAW 0.706542
RAW 0.714958
RAW 0.717292
RAW 0.722667
RAW 0.723583
RAW 0.725750
RAW 0.729583
RAW 0.730458
RAW 0.731125
RAW 0.740875
RAW 0.744291
RAW 0.744875
RAW 0.745542
RAW 0.926084
RAW 0.961666
