iterations=300 child=./trivial
mean_ms=0.6281 median_ms=0.6080 stddev_ms=0.0738 min_ms=0.5718 max_ms=1.2912
RAW 0.571834
RAW 0.572583
RAW 0.576417
RAW 0.576959
RAW 0.578833
RAW 0.579375
RAW 0.581834
RAW 0.582333
RAW 0.582541
RAW 0.582917
RAW 0.583125
RAW 0.583292
RAW 0.583834
RAW 0.583875
RAW 0.584250
RAW 0.584709
RAW 0.585083
RAW 0.585417
RAW 0.586084
RAW 0.586458
RAW 0.586792
RAW 0.587292
RAW 0.587583
RAW 0.587875
RAW 0.588375
RAW 0.588708
RAW 0.588750
RAW 0.588834
RAW 0.588958
RAW 0.589416
RAW 0.589709
RAW 0.589958
RAW 0.590208
RAW 0.590417
RAW 0.590750
RAW 0.590834
RAW 0.590875
RAW 0.591041
RAW 0.591500
RAW 0.591500
RAW 0.591625
RAW 0.591666
RAW 0.591792
RAW 0.592042
RAW 0.592458
RAW 0.593166
RAW 0.593208
RAW 0.593333
RAW 0.593584
RAW 0.593666
RAW 0.593667
RAW 0.593791
RAW 0.594084
RAW 0.594125
RAW 0.594167
RAW 0.594292
RAW 0.594542
RAW 0.594750
RAW 0.595083
RAW 0.595166
RAW 0.595334
RAW 0.595417
RAW 0.595584
RAW 0.595625
RAW 0.595667
RAW 0.596000
RAW 0.596042
RAW 0.596167
RAW 0.596167
RAW 0.596333
RAW 0.596500
RAW 0.596583
RAW 0.596833
RAW 0.596958
RAW 0.597458
RAW 0.597458
RAW 0.597541
RAW 0.597750
RAW 0.597792
RAW 0.598041
RAW 0.598166
RAW 0.598292
RAW 0.598542
RAW 0.598667
RAW 0.598917
RAW 0.599000
RAW 0.599041
RAW 0.599083
RAW 0.599167
RAW 0.599334
RAW 0.599458
RAW 0.599583
RAW 0.599750
RAW 0.599833
RAW 0.599958
RAW 0.600375
RAW 0.600417
RAW 0.600625
RAW 0.600958
RAW 0.601208
RAW 0.601292
RAW 0.601333
RAW 0.601375
RAW 0.601583
RAW 0.601666
RAW 0.601708
RAW 0.602000
RAW 0.602041
RAW 0.602083
RAW 0.602125
RAW 0.602375
RAW 0.602542
RAW 0.602667
RAW 0.602750
RAW 0.602875
RAW 0.602917
RAW 0.602917
RAW 0.603000
RAW 0.603166
RAW 0.603625
RAW 0.603666
RAW 0.604000
RAW 0.604083
RAW 0.604083
RAW 0.604375
RAW 0.604625
RAW 0.604666
RAW 0.604791
RAW 0.604791
RAW 0.604916
RAW 0.605041
RAW 0.605375
RAW 0.605416
RAW 0.605458
RAW 0.605542
RAW 0.605625
RAW 0.606042
RAW 0.606166
RAW 0.606417
RAW 0.606417
RAW 0.606459
RAW 0.606541
RAW 0.606750
RAW 0.606750
RAW 0.607084
RAW 0.607125
RAW 0.607334
RAW 0.607416
RAW 0.607541
RAW 0.607959
RAW 0.608042
RAW 0.608625
RAW 0.608625
RAW 0.609208
RAW 0.609292
RAW 0.609417
RAW 0.609500
RAW 0.609625
RAW 0.609667
RAW 0.609709
RAW 0.610083
RAW 0.610375
RAW 0.610541
RAW 0.610875
RAW 0.610875
RAW 0.611125
RAW 0.611208
RAW 0.611209
RAW 0.611250
RAW 0.611291
RAW 0.611375
RAW 0.611416
RAW 0.611458
RAW 0.611959
RAW 0.612042
RAW 0.613459
RAW 0.613500
RAW 0.613750
RAW 0.614083
RAW 0.614458
RAW 0.614583
RAW 0.614875
RAW 0.615750
RAW 0.615959
RAW 0.616500
RAW 0.617250
RAW 0.617916
RAW 0.618750
RAW 0.619709
RAW 0.620209
RAW 0.620375
RAW 0.620542
RAW 0.620625
RAW 0.620834
RAW 0.620834
RAW 0.621208
RAW 0.621875
RAW 0.622625
RAW 0.622667
RAW 0.622834
RAW 0.622875
RAW 0.622917
RAW 0.623542
RAW 0.623917
RAW 0.624166
RAW 0.624292
RAW 0.624875
RAW 0.625125
RAW 0.625334
RAW 0.626750
RAW 0.626833
RAW 0.627000
RAW 0.627000
RAW 0.627208
RAW 0.627292
RAW 0.627958
RAW 0.628042
RAW 0.628292
RAW 0.629041
RAW 0.629542
RAW 0.629708
RAW 0.630042
RAW 0.630791
RAW 0.631292
RAW 0.632500
RAW 0.633125
RAW 0.633458
RAW 0.633916
RAW 0.635042
RAW 0.636750
RAW 0.636875
RAW 0.637459
RAW 0.638084
RAW 0.639333
RAW 0.639542
RAW 0.640750
RAW 0.640791
RAW 0.641833
RAW 0.644000
RAW 0.644209
RAW 0.644375
RAW 0.644458
RAW 0.645167
RAW 0.645291
RAW 0.645500
RAW 0.646250
RAW 0.647250
RAW 0.648250
RAW 0.648917
RAW 0.649000
RAW 0.650542
RAW 0.650833
RAW 0.651666
RAW 0.652875
RAW 0.653417
RAW 0.653417
RAW 0.655500
RAW 0.656375
RAW 0.657625
RAW 0.658125
RAW 0.659500
RAW 0.659541
RAW 0.660125
RAW 0.660833
RAW 0.665875
RAW 0.667917
RAW 0.673000
RAW 0.673458
RAW 0.675375
RAW 0.676042
RAW 0.676958
RAW 0.684125
RAW 0.684375
RAW 0.685000
RAW 0.685333
RAW 0.687500
RAW 0.688458
RAW 0.690250
RAW 0.691500
RAW 0.692166
RAW 0.692583
RAW 0.695458
RAW 0.713458
RAW 0.715166
RAW 0.718125
RAW 0.720334
RAW 0.724833
RAW 0.728583
RAW 0.732417
RAW 0.747083
RAW 0.753000
RAW 0.759542
RAW 0.766584
RAW 0.768166
RAW 0.776000
RAW 0.885417
RAW 0.962959
RAW 1.124250
RAW 1.223875
RAW 1.291208
