iterations=300 child=./trivial
mean_ms=0.6179 median_ms=0.6058 stddev_ms=0.0380 min_ms=0.5664 max_ms=0.8033
RAW 0.566375
RAW 0.570000
RAW 0.574334
RAW 0.574375
RAW 0.575125
RAW 0.575875
RAW 0.576834
RAW 0.577666
RAW 0.577833
RAW 0.577959
RAW 0.578625
RAW 0.578875
RAW 0.579000
RAW 0.579333
RAW 0.579875
RAW 0.580042
RAW 0.580625
RAW 0.581084
RAW 0.581417
RAW 0.581542
RAW 0.582291
RAW 0.582291
RAW 0.582542
RAW 0.582750
RAW 0.582958
RAW 0.583125
RAW 0.583208
RAW 0.584584
RAW 0.584750
RAW 0.585041
RAW 0.585542
RAW 0.585708
RAW 0.585709
RAW 0.585875
RAW 0.586292
RAW 0.586542
RAW 0.586625
RAW 0.587292
RAW 0.587333
RAW 0.587375
RAW 0.587500
RAW 0.587666
RAW 0.587750
RAW 0.587875
RAW 0.587917
RAW 0.588292
RAW 0.588333
RAW 0.588417
RAW 0.588792
RAW 0.588916
RAW 0.589125
RAW 0.589209
RAW 0.589583
RAW 0.589625
RAW 0.589958
RAW 0.590083
RAW 0.590708
RAW 0.591042
RAW 0.591209
RAW 0.591291
RAW 0.591417
RAW 0.591417
RAW 0.591709
RAW 0.591834
RAW 0.592167
RAW 0.592333
RAW 0.592417
RAW 0.592583
RAW 0.592667
RAW 0.592708
RAW 0.592750
RAW 0.592750
RAW 0.592875
RAW 0.593208
RAW 0.593459
RAW 0.593584
RAW 0.593834
RAW 0.594667
RAW 0.594791
RAW 0.594833
RAW 0.595041
RAW 0.595125
RAW 0.595250
RAW 0.595375
RAW 0.595708
RAW 0.595792
RAW 0.596000
RAW 0.596042
RAW 0.596875
RAW 0.597083
RAW 0.597250
RAW 0.597375
RAW 0.597458
RAW 0.597458
RAW 0.597500
RAW 0.597750
RAW 0.597750
RAW 0.598083
RAW 0.598167
RAW 0.598458
RAW 0.598459
RAW 0.598500
RAW 0.598541
RAW 0.598667
RAW 0.598791
RAW 0.598833
RAW 0.598958
RAW 0.599167
RAW 0.599333
RAW 0.599375
RAW 0.600125
RAW 0.600333
RAW 0.600500
RAW 0.600584
RAW 0.600750
RAW 0.600791
RAW 0.600833
RAW 0.600958
RAW 0.601209
RAW 0.601459
RAW 0.601625
RAW 0.601833
RAW 0.601875
RAW 0.601875
RAW 0.601916
RAW 0.602083
RAW 0.602083
RAW 0.602167
RAW 0.602333
RAW 0.602750
RAW 0.603167
RAW 0.603417
RAW 0.603625
RAW 0.603875
RAW 0.604167
RAW 0.604292
RAW 0.604333
RAW 0.604375
RAW 0.604417
RAW 0.604458
RAW 0.604583
RAW 0.604666
RAW 0.604708
RAW 0.604834
RAW 0.604875
RAW 0.604875
RAW 0.605250
RAW 0.605500
RAW 0.605583
RAW 0.605750
RAW 0.605917
RAW 0.605958
RAW 0.605959
RAW 0.606125
RAW 0.606291
RAW 0.607333
RAW 0.607416
RAW 0.607584
RAW 0.607667
RAW 0.607708
RAW 0.607875
RAW 0.608125
RAW 0.608417
RAW 0.608459
RAW 0.608583
RAW 0.609459
RAW 0.609958
RAW 0.610042
RAW 0.610208
RAW 0.610209
RAW 0.610583
RAW 0.610583
RAW 0.610708
RAW 0.611416
RAW 0.611875
RAW 0.611958
RAW 0.612041
RAW 0.612042
RAW 0.612333
RAW 0.612417
RAW 0.612458
RAW 0.612750
RAW 0.612791
RAW 0.613041
RAW 0.613375
RAW 0.613500
RAW 0.613666
RAW 0.614125
RAW 0.614834
RAW 0.615000
RAW 0.615250
RAW 0.615333
RAW 0.615416
RAW 0.615459
RAW 0.615500
RAW 0.616541
RAW 0.616750
RAW 0.616833
RAW 0.617958
RAW 0.618042
RAW 0.618416
RAW 0.618667
RAW 0.619375
RAW 0.620333
RAW 0.620375
RAW 0.620583
RAW 0.621292
RAW 0.621333
RAW 0.621542
RAW 0.621584
RAW 0.622000
RAW 0.622666
RAW 0.622667
RAW 0.622917
RAW 0.623041
RAW 0.624083
RAW 0.624584
RAW 0.625750
RAW 0.626000
RAW 0.626167
RAW 0.626250
RAW 0.626333
RAW 0.626500
RAW 0.626625
RAW 0.627250
RAW 0.629208
RAW 0.629666
RAW 0.630167
RAW 0.630541
RAW 0.631208
RAW 0.631708
RAW 0.632292
RAW 0.632583
RAW 0.633916
RAW 0.634208
RAW 0.634375
RAW 0.634750
RAW 0.636042
RAW 0.636083
RAW 0.637250
RAW 0.638541
RAW 0.639792
RAW 0.640042
RAW 0.640958
RAW 0.641625
RAW 0.641791
RAW 0.641833
RAW 0.642000
RAW 0.642334
RAW 0.642584
RAW 0.642791
RAW 0.642792
RAW 0.643292
RAW 0.643334
RAW 0.643667
RAW 0.644375
RAW 0.644958
RAW 0.645917
RAW 0.650334
RAW 0.650500
RAW 0.651166
RAW 0.651500
RAW 0.652250
RAW 0.653083
RAW 0.653208
RAW 0.657083
RAW 0.658792
RAW 0.659000
RAW 0.660667
RAW 0.662000
RAW 0.672542
RAW 0.676667
RAW 0.681333
RAW 0.681417
RAW 0.682375
RAW 0.682958
RAW 0.687417
RAW 0.688417
RAW 0.689875
RAW 0.690375
RAW 0.691000
RAW 0.692125
RAW 0.702042
RAW 0.704958
RAW 0.707834
RAW 0.708750
RAW 0.714125
RAW 0.717917
RAW 0.720834
RAW 0.721708
RAW 0.722875
RAW 0.723167
RAW 0.725542
RAW 0.739000
RAW 0.739084
RAW 0.745084
RAW 0.747917
RAW 0.752875
RAW 0.753375
RAW 0.803291
